Mother Total Momentum (GeV/c), Mother Transverse Momentum (GeV/c), Mother Fraction of Transverse Momentum, Opening Angle (rad), Decay Angle (rad), Impact Parameter (cm), Daughter1 Total Momentum (GeV/c), Daughter1 Transverse Momentum (GeV/c), Daughter1 Fraction of Transverse Momentum, Daughter2 Total Momentum (GeV/c), Daughter2 Transverse Momentum (GeV/c), Daughter2 Fraction of Transverse Momentum, Decay Z (cm), Decay X (cm), Decay Y (cm), Event type
45.13950020767547, 0.47052527379664505, 0.010423803356968438, 0.027322783747663355, 3.141592653589793, 38.67566554803965, 26.223201629997106, 0.5231744730347228, 0.01995082371773612, 19.00915102211381, 0.22932698811580723, 0.01206403104741635, -1983.124484389819, 70.85479414901455, -51.99254022155652, 1
12.490959378714871, 0.30791547026726607, 0.02465106649789985, 0.08274437235418472, 3.141592653589793, 111.53286606222109, 8.838530934124368, 0.4257366392370891, 0.04816825809743763, 3.6355225340946555, 0.1316253686771641, 0.03620535079696388, -36.9885604667381, -50.808751243818136, -88.7702963771465, 1
20.1124461553624, 0.33432130400021265, 0.016622607783145046, 0.03636580395683082, 3.1415926325163688, 70.91665357253366, 10.562424572885256, 0.35737394712211085, 0.03383446145873776, 9.553121128322271, 0.032263704481585574, 0.003377294608558131, -1645.7713762882693, 1.0825748366985928, -23.837743858146702, 1
46.75735902088158, 0.34459284102345383, 0.007369809763412013, 0.018074225529592272, 3.141592653589793, 63.9891351760446, 42.32822099085916, 0.2851398961195325, 0.006736401612085443, 4.70793964532593, 0.10345555593563933, 0.02197469885544319, 1694.993238266552, 7.506620532541917, -28.959019652438258, 1
15.456540995433597, 0.21849886998871995, 0.014136336846211075, 0.12351034549134889, 3.141592653589793, 47.602790981038865, 12.616770493265735, 0.46741991464365606, 0.03704750870225814, 2.850606284453461, 0.24760743046520572, 0.08686132203370162, -834.0038498665273, -27.602450115052317, -124.2541513781643, 1
18.163675288066223, 0.4458839073621456, 0.024548110461713513, 0.06392851636801443, 3.141592653589793, 27.277751043229532, 16.04703266723961, 0.2952105296828464, 0.018396580589352545, 2.1621895394366755, 0.1689224066185991, 0.07812562383527634, 2410.9169595531625, 142.3907576611499, -163.3920858450606, 1
16.63855660488418, 0.4031286748370058, 0.024228584510670177, 0.10585586690967423, 3.141592653589793, 93.66410086911527, 14.750971436271211, 0.5314237535546128, 0.03602635635561555, 1.8889886742461928, 0.13439275486506583, 0.07114534708298116, 499.6996144972443, -60.34543352733658, -251.9555685268071, 1
34.95840562284158, 0.5518054538487384, 0.015784628732844513, 0.04803844818618248, 3.141592653589793, 30.894535194058456, 24.4884143259881, 0.11475273637552581, 0.004686001096189619, 10.506454811826854, 0.5137530171885966, 0.04889879853766445, 36.138329762330464, 29.9718788567181, -78.25462181554542, 1
77.01432377843366, 0.5150187286076181, 0.0066873109226966805, 0.01871240306732287, 3.141592653589793, 17.909120871721488, 58.573238061808006, 0.5195722903292571, 0.008870472378204375, 18.297049410746983, 0.25423062774490424, 0.013894624320989096, -404.9567080410872, 21.811962746785795, -34.58135646618862, 1
8.6289403539891, 0.5901371338196993, 0.06839045231630128, 0.27117226409934475, 3.141592638688632, 632.5965245534287, 4.494087018974689, 0.8578660398393168, 0.19088772340572882, 4.208747410532753, 0.3395950789036554, 0.08068792107927159, 428.5649104048347, 9.447162496684454, -145.28107311890395, 1
26.27973063205924, 0.07455812391622783, 0.0028370962001137362, 0.028817450139538216, 3.141592653589793, 132.9641936591867, 6.486970694548788, 0.15017372649392152, 0.023150054711996368, 20.68606759914775, 0.12478793190564556, 0.006032462734037798, -839.3629438242598, -107.56743626482641, 44.1895691946329, 1
36.546921044768354, 0.16376870473116759, 0.004481053397919847, 0.026685833398363428, 3.141592653589793, 71.73747614147581, 28.21798362493954, 0.27324844037025414, 0.009683485680697344, 8.506053426881401, 0.15212333706445258, 0.017884126683674735, 1291.7612646612067, 79.89073000684962, -53.4092116379928, 1
17.888155806260126, 0.3560688894836595, 0.019905287797138366, 0.08693643683210976, 3.141592653589793, 10.175567884372322, 1.313578566723556, 0.08389443669499998, 0.06386708707059442, 16.579269566637457, 0.42555995396927815, 0.025668196795933306, -264.553389841022, -114.98989091426988, 72.73273117428755, 1
33.69133680574461, 0.6047111190866834, 0.017948564124163097, 0.0320872992346287, 3.141592653589793, 33.937076375206054, 25.935019663107084, 0.5669315218032844, 0.021859691227061308, 7.763869814804682, 0.18902463812550985, 0.02434670372306664, -2123.368908365453, 44.10940291722184, -80.01026604700986, 1
