Mother Total Momentum (GeV/c), Mother Transverse Momentum (GeV/c), Mother Fraction of Transverse Momentum, Opening Angle (rad), Decay Angle (rad), Impact Parameter (cm), Daughter1 Total Momentum (GeV/c), Daughter1 Transverse Momentum (GeV/c), Daughter1 Fraction of Transverse Momentum, Daughter2 Total Momentum (GeV/c), Daughter2 Transverse Momentum (GeV/c), Daughter2 Fraction of Transverse Momentum, Decay Z (cm), Decay X (cm), Decay Y (cm), Event type
41.22025356892331, 0.7315274374576086, 0.01774679615287763, 0.025502866378102288, 3.141592653589793, 61.338016201323065, 23.7990103644313, 0.5895673159225804, 0.02477276604760488, 17.49955416169566, 0.2989700907604923, 0.017084440437625577, -1243.0679292670345, 0.22710316386402718, -108.76255398444857, 1
22.632067061428767, 0.5174952073696903, 0.022865574141552616, 0.06089867923254033, 3.141592653589793, 79.70006528492789, 11.672674403541297, 0.5227984882203653, 0.04478823533891744, 10.849148105085794, 0.3274360862565276, 0.030180810795921775, 993.9274472659149, 107.11463868571792, -17.34825530667845, 1
20.652725914473578, 0.9384517979264461, 0.04543960936743814, 0.07124008206515497, 3.141592653589793, 231.23874796413986, 15.585419169581101, 0.9069260582901862, 0.05819067478533285, 5.110644174843025, 0.256691677727425, 0.050226873354044334, 1475.1857649230153, -15.900471558004876, 166.8077073364346, 1
24.706600135953387, 0.21083790090087, 0.008533667106792884, 0.050424475675009815, 3.141592653589793, 119.64710494277453, 11.00855624753775, 0.3976650869195674, 0.036123273386418124, 13.66075171922408, 0.20331347467584754, 0.014883037101811523, -551.3107512895206, -15.491381877680585, -65.4617265906093, 1
28.851410627490786, 0.5630149967212119, 0.0195142970300644, 0.07747040677460194, 3.141592638688632, 40.25512102512337, 6.3446267898238125, 0.4795783801384267, 0.07558811511303164, 22.537504787848558, 0.3128345570138013, 0.013880620767853185, 1282.1743374274188, -134.26336077307926, 94.34842672335357, 1
19.081217208965757, 0.4821863776270008, 0.02527021061321152, 0.023995866517580434, 3.1415926325163688, 87.55164268809217, 15.638291496359683, 0.37100321852375806, 0.023724025006831535, 3.3059199931544323, 0.13845310409192776, 0.0418803553560348, 439.2187328563582, -49.45442943308557, -135.64464806528224, 1
31.484887489483338, 1.0047201396470615, 0.03191118723173652, 0.09828200619120832, 3.1415926325163688, 15.595961062588959, 3.858364144871691, 0.2101301300320105, 0.05446093788511461, 27.654746564162178, 1.213423057180955, 0.043877569239901534, -667.0685796297714, -118.75370285991183, -183.979313101443, 1
29.87546342446315, 0.40718127779704966, 0.013629287419308595, 0.10544192636533846, 3.1415926325163688, 19.18244849159486, 29.06959981252843, 0.425747616539444, 0.014645802463230164, 0.3179427579750629, 0.030691008236473402, 0.0965299805283836, 1156.3272318953889, 98.04950738257533, 6.840659124910352, 1
13.386497372559461, 0.30869049114954117, 0.023059840267276758, 0.12082690385360838, 3.141592653589793, 114.0395509794683, 10.105093857030644, 0.4932485331865505, 0.04881187054421782, 3.2211755534281297, 0.2523342844552159, 0.07833608577671888, 2278.5649938520155, 85.85387989569988, 115.96501617148267, 1
86.89196997386354, 0.47379865447749486, 0.005452732336716615, 0.014371546268768907, 3.141592653589793, 22.190884123997535, 62.647659788901365, 0.13560743769125846, 0.002164605001179671, 22.948141829620216, 0.3679810136312929, 0.016035329412001583, -791.493172422773, 30.088854484033227, -41.51701276698026, 1
64.79903609112141, 1.0441360462151512, 0.016113450279520686, 0.03973583583342656, 3.141592653589793, 19.70693173346574, 10.486192372599582, 0.37917013451423087, 0.03615899089406392, 54.31945179825355, 0.9647786004119466, 0.017761199137193165, -1487.2033988174858, 71.82790890510684, -14.176560121923803, 1
32.84316089767199, 1.1783949868308043, 0.035879463322737976, 0.05893994914925142, 3.1415926325163688, 62.09711580985212, 26.022162175378675, 0.6172321484215918, 0.023719479736606854, 7.071271818640008, 0.5804637696087673, 0.08208760524219332, 1933.8360655248139, 82.1843431773111, 301.4400660481666, 1
21.14904857226858, 0.5831428002100549, 0.027573003968353143, 0.08560131581835799, 3.141592653589793, 58.795848743564356, 11.971871520211277, 0.7730932038596169, 0.06457580191655561, 9.210676612037824, 0.19714151112338446, 0.02140358623227873, -2034.505372153087, -32.45997759426908, 134.92081154852124, 1
32.18572546487219, 0.5907139572382676, 0.018353290121826783, 0.06989215369080011, 3.141592653589793, 38.89175563202569, 6.681668138282409, 0.2758447454530858, 0.04128381412309928, 25.511524476995998, 0.8035483063373094, 0.03149746331552539, -1155.707857123104, -23.94612109266708, -144.8619163387887, 1
33.96666645890698, 0.41226350403876993, 0.012137296562131823, 0.07024619779692379, 3.141592653589793, 18.11909513322231, 9.564732517422074, 0.40309889995736187, 0.04214429407441565, 24.38205668829796, 0.730333382512651, 0.029953723422485957, -2260.232465360866, 0.8307050555126245, -58.52722733324541, 1
19.177887969513254, 0.46858238868226054, 0.02443347199791539, 0.10282399596135594, 3.141592653589793, 99.09810304716777, 16.59986568448843, 0.2011807890938468, 0.012119422706042618, 2.616653243886628, 0.29389950707929824, 0.11231885912508476, 1540.6745329086625, 59.741255441581785, -112.54715425775638, 1
38.72828605686953, 0.24194492466669568, 0.006247240694086437, 0.01607345028580671, 3.141592653589793, 42.207944254035304, 30.480069362001434, 0.2552186148848948, 0.008373295081902536, 7.428033872999026, 0.08566524130412531, 0.011532693949541517, 584.0288815053608, 5.446678119332392, -19.028316119855454, 1
